profile_id,app_id,loan,begin_date,end_date,amount,product,status,lodging_cnt,repayment_ratio
158618,848153,34275,2020-01-16,2020-02-25,3500.0,START_11,CLOSED,1,1.486
709513,509688,21025,2019-06-14,2019-06-28,700.0,START_11,CLOSED,0,1.0
690248,518539,21232,2019-06-19,2019-06-30,2000.0,START_11,CLOSED,0,1.054
753344,755195,30938,2019-11-23,2019-12-07,700.0,START_11,CLOSED,0,1.036
416384,393817,17844,2019-04-09,2019-05-04,2300.0,START_11,CLOSED,1,1.18
767257,580393,23343,2019-07-31,2019-08-07,3000.0,START_11,CLOSED,0,1.108
866091,657633,26601,2019-09-19,2019-10-02,1500.0,START_11,CLOSED,0,1.216
701636,544451,22123,2019-07-07,2019-08-04,1400.0,START_11,CLOSED,0,1.6883
525268,392909,17817,2019-04-09,2019-04-23,2000.0,START_11,OVERDUE,0,0.0
778525,566413,22877,2019-07-21,2019-08-10,3500.0,START_11,CLOSED,0,1.43916
26448,75528,6406,2018-10-24,2018-11-07,100.0,START,CLOSED,0,1.126
942465,769922,31526,2019-12-01,2020-01-02,4000.0,START_11,CLOSED,0,1.018
371649,365329,17057,2019-03-25,2019-05-22,3000.0,START_11,OVERDUE,1,0.63308
851470,625847,25108,2019-08-27,2019-09-28,3000.0,START_11,OVERDUE,1,0.22208
157515,248201,11842,2019-02-15,2019-04-20,2000.0,START_11,OVERDUE,1,0.6883
277796,245564,11651,2019-02-14,2019-03-14,2000.0,START_11,OVERDUE,0,0.0
211162,150605,9058,2018-12-18,2019-01-15,2000.0,START,OVERDUE,0,0.0
22354,117856,8213,2018-11-25,2018-12-23,2000.0,START,CLOSED,0,1.63291
825072,646564,25918,2019-09-10,2019-10-12,1000.0,START_11,CLOSED,1,1.522
744174,672854,27297,2019-10-01,2019-10-16,3000.0,START_11,CLOSED,0,1.144
934329,758065,31012,2019-11-25,2019-12-02,4000.0,START_11,CLOSED,0,1.0617375
480087,333356,15989,2019-03-09,2019-04-20,3000.0,START_11,CLOSED,1,1.774
